final_review,title,text
positif,Mobil Sim Keliling Polres Banggai Meriahkan Pasar Murah Bersubsidi,"KABAR LUWUK –  Suasana Pasar Murah bersubsidi di Kabupaten Banggai menjadi lebih semarak dengan kehadiran Satuan Lalulintas Polres Banggai yang membawa Mobil Sim Keliling. Senin 11/12/2023.Keberadaan ini bukan hanya sekadar pelayanan, melainkan juga menandai sinergi antara Polres Banggai dan Kejaksaan Negeri Banggai yang terjalin kuat.Kepala Satuan Lalu Lintas Polres Banggai, AKP I Made Bagus Aditya,melalui Kanit Regiden, Ipda Suparjan, memimpin stand pameran Sim Keliling di Pasar Murah bersubsidi.Suparjan menjelaskan bahwa kegiatan ini merupakan upaya konkret dalam mendekatkan diri kepada masyarakat, terutama dalam pengurusan perpanjangan Surat Izin Mengemudi (SIM).Masyarakat Kabupaten Banggai dapat dengan mudah mengurus perpanjangan SIM tanpa harus repot datang ke Kantor Satpas Polres Banggai dihalimun.Cukup dengan mendatangi Mobil Sim Keliling yang telah disediakan oleh tim, pelayanan pun siap dilayani. Ujarnya.Dalam suasana yang ramai, Ipda Suparjan menekankan bahwa kehadiran Mobil Sim Keliling adalah bentuk inovatif untuk memudahkan akses masyarakat dalam administrasi SIM.Tim di dalam mobil siap memberikan pelayanan terbaik untuk memastikan proses perpanjangan SIM berjalan lancar dan efisien.Hal ini tidak hanya memudahkan, tetapi juga memperkuat ikatan antara institusi kepolisian dan kejaksaan dengan masyarakat.Pasar Murah bersubsidi yang diselenggarakan oleh Kejaksaan Negeri Banggai bukan hanya sebagai ajang ekonomi, tetapi juga sebagai platform untuk mendekatkan diri dengan masyarakat.Keberadaan Mobil Sim Keliling menjadi tambahan nilai positif dalam kegiatan tersebut, menciptakan hubungan yang lebih erat antara penegak hukum dan warga Kabupaten Banggai.**"
positif,"Film Horor “Piara Mayat”,  Kreativitas Anak Muda Banggai Mengukir Jejak di Dunia Sinematografi","KABAR LUWUK  –  Film Horor“Piara Mayat”,KreativitasAnak Muda BanggaiMengukir Jejak di DuniaSinematografi. Kabupaten Banggai,Sulawesi Tengah, kembali menjadi sorotan dengan film orisinal terbaru yang dihasilkan olehkreativitas anak-anak mudanya.Diberi judul “Piara Mayat,” film ini diproduksi olehTosca Creativepreneurdan rencananya akan tayang pada pertengahan Januari mendatang.Selasa 12/12/2023.Proses promosi film ini telah dimulai dengan merilis video trailer melalui akun Instagram resmi @filmpiaramayat pada tanggal 11 Februari 2023, serta platform media sosial para kru yang terlibat dalam produksi.Produser film, Iqbal Mustatim, menjelaskan bahwa peluncuran video trailer merupakan langkah penting dalam proses penggarapan film, menandakan bahwa film tersebut akan segera tayang.Sebelumnya, tim Piara Mayat telah melewati berbagai tahapan pra-produksi dan produksi, termasuk penulisan naskah, casting, latihan, dan pengambilan gambar.Tosca Creativepreneur bekerjasama dengan Sanggar Teater Athena dalam pembuatan film ini, dengan Ikbal Maulana Aziz dan Abdy Gunawan sebagai sutradara dan penulis naskah.Puput Oktaviani, anggota Athena yang aktif di panggung teater, turut serta sebagai pemeran.Para pemain film Piara Mayat berasal dari berbagai latar belakang profesi dan usia, termasuk beberapa pelajar SLTA seperti Dani Subagio, Azzahra Sudehon, dan Saskia Andira Putri. Selain itu, beberapa pegiat seni dan konten kreator senior juga ikut serta dalam produksi film ini.Iqbal menekankan bahwa tujuan pembuatan film ini adalah menciptakan wadah bagi anak-anak muda Banggai untuk belajar akting, menulis naskah, dan menggarap film.Dia berharap agar film ini dapat menciptakan iklim perfilman yang baik di Kabupaten Banggai dan memberikan apresiasi lebih luas bagi karya-karya lokal.Terkait penayangan, Iqbal menyebutkan bahwa akan diselenggarakan penayangan film secara langsung di tempat dan waktu yang berbeda-beda.Gala Premiere tetap menjadi bagian dari rencana penayangan, dengan informasi lebih lanjut dapat diikuti melalui akun Instagram resmi mereka.**"
positif,Festival Malabot Tumbe 2023 Kembali Meriahkan Kabupaten Banggai Laut,"KABAR LUWUK  –Festival Malabot Tumbe 2023Kembali MeriahkanKabupaten Banggai Laut. Kabupaten Banggai Laut kembali memukau masyarakatnya dengan penyelenggaraanFestival Malabot Tumbeyang telah menjadi tradisi tahunan. Festival ini tidak hanya menghadirkan keindahan alam dan budaya, tetapi juga menjadi magnet bagiwisatawandengan mengangkat konsep tematik yang menarik. Selasa  5/12/2023.Festival Malabot Tumbekali ini memilih konsep tematik yang mencakup tourism dan historical, environmental, serta maritime culture.Ritual adat penjemputan telur burung maleo menjadi pusat perhatian, melibatkan tiga Kabupaten, yaitu Banggai, Banggai Kepulauan, dan Banggai Laut.Event ini tidak hanya menjadi ajang perayaan kearifan lokal, tetapi juga memberikan dampak positif pada ekonomi masyarakat setempat.Dalam upacara adat Malabot Tumbe, tema “Banggakan Warisan Adat, Bangkitkan Ekonomi Rakyat” diangkat untuk memberikan nilai lebih pada kegiatan tersebut.Bupati Banggai Laut, Sofyan Kaepa, SH, menyampaikan rasa bangganya karena Festival Malabot Tumbe telah diakui sebagai bagian dari Kharisma Event Nusantara.Kabupaten Banggai Laut menjadi salah satu dari 110 daerah di Indonesia yang mendapat pengakuan ini, menandakan keunikan dan daya tarik festival ini.Tidak hanya upacara adat, festival ini juga menyelenggarakan berbagai kegiatan menarik seperti karnaval budaya, lomba mancing masyarakat tradisional, bakar ikan massal, tokoli, serta pertunjukan seni dan budaya.Total pengunjung sejak hari pertama mencapai lebih dari 26.000 orang, memberikan dorongan ekonomi signifikan dengan perputaran ekonomi mencapai 324 juta rupiah di area Taman Kota Banggai.Dengan capaian tersebut, Festival Malabot Tumbe dapat dianggap sebagai kesuksesan yang tidak hanya memperkaya tradisi lokal tetapi juga meningkatkan ekonomi dan pariwisata Kabupaten Banggai Laut.  ( RS )**"
positif,"Rakor Kampanye Damai Pemilu 2024, Polres Banggai Dapat Arpresiasi dari Para Partai Politik","“Kerja Cepat dan Terkoordinir dalam Penerbitan STTP “KABAR LUWUK  –Rakor Kampanye Damai Pemilu 2024,Polres Banggai Dapat Arpresiasi dari Para Partai Politik. Rapat koordinasi kampanye pemilu yang diadakan bersama partai politik peserta pemilu tahun 2024 diKabupaten Banggaitelah sukses dilaksanakan. Acara yang bertujuan untuk membahas strategi kampanye damai menghadirkan dua narasumber kunci, yaitu Kasat Intel Kam Polres Banggai, AKP. Usman SH, danKetua Bawaslu Kabupaten Banggai, Ridwan, SH.Senin 6/12/2023.Salah satu poin utama dalam rapat tersebut adalah pembahasan mengenai penerbitanSurat Tanda Terima Pemberitahuan Kampanye Pemilu (STTP). Kasat Intel Kam Polres Banggai, AKP. Usman SH, menjadi narasumber pertama yang memberikan insight tentang proses penerbitan STTP. Para peserta pemilu memberikan apresiasi tinggi terhadap Polres Banggai, khususnya Sat Intel Kam, atas pelayanan yang cepat dan terkoordinir dalam proses penerbitan STTP.“Kami mengucapkan terima kasih atas pelayanan dan kerjasama yang baik dari Polres Banggai, khususnya Sat Intel Kam. Penerbitan STTP yang cepat dan terkoordinir sangat membantu kelancaran kampanye kami,” ungkap salah satu peserta partai politik yang hadir.Kapolres Banggai, melalui Kasat Intel Kam, AKP. Usman SH, juga menyampaikan terima kasih atas partisipasi aktif para peserta dalam rapat koordinasi. “Terima kasih kepada seluruh peserta rakor kampanye damai atas saran dan masukannya. Semoga apa yang masih kurang dalam pelayanan kami di Polres Banggai, tentu kami akan berusaha untuk memperbaikinya,” ujar AKP. Usman SH.Ridwan, SH, selaku Ketua Bawaslu Kabupaten Banggai, turut memberikan kontribusi dengan menyampaikan materi tentang “Pengawas Kampanye Pemilu.” Materi ini menjadi penting dalam memastikan bahwa kampanye pemilu dilaksanakan secara fair dan sesuai dengan aturan yang berlaku.Rapat koordinasi ini diakhiri dengan harapan bersama untuk menjaga kampanye pemilu agar tetap damai, bersih, dan demokratis. Semua peserta sepakat untuk bekerja sama demi tercapainya pemilu yang berkualitas dan dapat memberikan pemimpin yang amanah untuk masyarakat Kabupaten Banggai.Rapat koordinasi tersebut juga menjadi wadah untuk membangun sinergi antara partai politik, kepolisian, dan lembaga pengawas pemilu dalam menciptakan suasana kampanye yang sehat dan damai. Para peserta sepakat bahwa kolaborasi yang baik antara semua pihak dapat menjadi kunci keberhasilan pelaksanaan pemilu yang adil dan transparan.Selain itu, peran Ketua Bawaslu Kabupaten Banggai, Ridwan, SH, dalam memberikan pemahaman tentang tugas dan tanggung jawab pengawas kampanye pemilu dianggap sangat penting. Materi yang disampaikannya tidak hanya memberikan pengetahuan kepada peserta, tetapi juga meningkatkan pemahaman tentang pentingnya pengawasan dalam menjaga integritas dan keadilan selama masa kampanye.Kapolres Banggai dan jajaran Sat Intel Kam turut memberikan komitmen untuk terus meningkatkan pelayanan dan koordinasi dengan semua pihak terkait. Transparansi dan responsif terhadap masukan dari partai politik serta lembaga pengawas pemilu dianggap sebagai langkah positif dalam meningkatkan kepercayaan masyarakat terhadap proses pemilu.Sebagai tindak lanjut dari rapat koordinasi ini, diharapkan akan muncul langkah konkret untuk meningkatkan efisiensi dalam penerbitan STTP dan peningkatan kapasitas pengawas kampanye. Semua upaya ini diarahkan untuk menciptakan pemilu yang tidak hanya demokratis tetapi juga menjunjung tinggi nilai-nilai perdamaian dan keadilan.Dengan berakhirnya rapat koordinasi ini, partai politik, kepolisian, dan lembaga pengawas pemilu di Kabupaten Banggai meninggalkan ruang diskusi dengan semangat optimisme bahwa kerjasama yang baik akan membawa dampak positif pada pelaksanaan kampanye pemilu dan pada akhirnya, pada keberhasilan pemilihan itu sendiri.Semua pihak sepakat bahwa pemilu damai adalah tanggung jawab bersama, dan melalui sinergi yang kuat, Kabupaten Banggai dapat meraih pesta demokrasi yang berkualitas dan bermartabat.**Penulis : Imam Muslik ( Jurnali )"
positif,"Bawaslu Banggai Perkuat Koordinasi dengan Panwascam untuk Menyongsong Pemilu, Distribusi Logistik Jadi Fokus Utama","KABAR LUWUK  –Bawaslu BanggaiPerkuat Koordinasi denganPanwascamuntuk Menyongsong Pemilu,Distribusi Logistik Jadi Fokus Utama.  Bawaslu Banggai menggelarrapat koordinasi (rakor)yang melibatkan seluruh Panwascam dari 23kecamatan di Luwuk.Ketua Bawaslu Banggai, Ridwan, dalam sambutannya menegaskan pentingnya koordinasi ini untuk mencegah keterlambatan distribusi logistik pemilu seperti yang terjadi pada tahun 2019.Bawaslu terus menghimbauKomisi Pemilihan Umum (KPU)agar memastikan bahwa pengelolaan dan distribusi logistik berjalan lancar tanpa masalah.Senin 6/12/2023.Ridwan juga menyampaikan bahwa pihaknya bersama jajaran perlu memperkuat diri untuk memastikan pengawasan pemilu berjalan dengan baik. Hal ini sebagai langkah antisipasi terhadap potensi masalah yang dapat muncul selama proses pemilu.Ketua KPU Banggai, Santo Gotia, turut berbicara di hadapan puluhan anggota Panwascam. Dia menyatakan bahwa diperkirakan pada tanggal 18 Desember, surat suara sudah akan tiba di KPU Banggai.Meskipun distribusi logistik bukan lagi persoalan utama, tantangan terbesar saat ini adalah membangkitkan kepercayaan publik.Banggai memiliki catatan terkait masalah logistik pada pemilu sebelumnya, sehingga penting untuk memastikan bahwa logistik pemilu saat ini tepat jumlah, tepat jenis, tepat waktu, dan kualitasnya terjamin.Santo Gotia juga menekankan pentingnya kepercayaan publik, yang menjadi kunci kesuksesan pemilu. Dia berharap agar KPU Banggai dapat menjaga tata kelola logistik dengan baik, dan akan meminta koordinasi dan konsolidasi antara Panwascam dan PPK untuk memastikan pemilu berjalan dengan sukses.Tata kelola logistik akan dipusatkan di kantor KPU Banggai, dengan proses pengepakan dimulai pada akhir Desember. KPU Banggai telah menyiapkan tenaga untuk tahapan sortir dan lipat. Santo Gotia mengajak semua pihak untuk membantu mengawasi agar proses pemilu berjalan lancar dan baik di setiap tahapannya.Selain itu, Ridwan, Ketua Bawaslu Banggai, menekankan pentingnya transparansi dan akuntabilitas dalam semua tahap pengawasan pemilu. Ia menyatakan bahwa Bawaslu akan terus bersinergi dengan KPU dan semua pihak terkait untuk menciptakan lingkungan pemilu yang bersih, adil, dan dapat dipercaya.Dalam konteks membangkitkan kepercayaan publik, Santo Gotia juga menyoroti rencana KPU Banggai untuk memusatkan tata kelola logistik di kantor mereka sendiri.Hal ini sebagai langkah konkret untuk menunjukkan komitmen terhadap integritas proses pemilu. Pihak KPU Banggai juga berencana mengembalikan logistik ke Asrama Haji Koyoan di Nambo setelah pemilu sebagai bagian dari upaya pengelolaan pasca-pemilu.Pada akhir sesi rakor, baik Bawaslu Banggai maupun KPU Banggai sepakat untuk terus berkoordinasi erat dan saling mendukung demi suksesnya pemilu di Kabupaten Banggai.Ketua KPU Banggai mengajak seluruh Panwascam dan PPK untuk aktif berpartisipasi dalam pengawasan, sehingga setiap tahapan pemilu dapat berjalan sesuai aturan dan memberikan keyakinan kepada masyarakat.Dalam suasana yang penuh semangat ini, diharapkan bahwa upaya keras Bawaslu Banggai dan KPU Banggai dalam memperkuat koordinasi, meningkatkan transparansi, dan memastikan kualitas logistik pemilu dapat membawa Kabupaten Banggai menuju pemilu yang bersih, adil, dan dipercaya oleh seluruh masyarakat. ( IM) **"
positif,"Bawaslu Banggai Gencar Sosialisasi Pemilu Damai 2024, Rakor Bersama Pimpinan Partai dan Instansi Terkait","KABAR LUWUK  –Bawaslu BanggaiGencar SosialisasiPemilu Damai 2024, Rakor Bersama Pimpinan Partai dan Instansi Terkait.Badan Pengawas Pemilu (Bawaslu) Kabupaten Banggaimenggelar rapat koordinasi yang membahas kampanye damai menjelangPemilu 2024.Acara ini diawali dengan pembukaan olehKetua Bawaslu Kabupaten Banggai,Ridwan, SH, dan dihadiri oleh sejumlah tokoh penting, termasukKetua KPU Banggai,Kapolres Banggai, Ketua DPRD Banggai, Kajari Banggai, serta perwakilan dari masing-masing pengurus partai politik di Kabupaten Banggai,bertempat di hotel Estrela, Rabu  6/12/2023.Dalam sambutannya, Ketua Bawaslu Kabupaten Banggai, Ridwan, SH, menekankan bahwa rapat koordinasi ini difokuskan pada pembahasan mengenai kampanye damai.Ia menjelaskan bahwa kampanye damai melibatkan peserta pemilu atau pihak lain yang ditunjuk oleh peserta pemilu untuk meyakinkan pemilih dengan menawarkan visi, misi, program, dan citra diri pemilu sesuai dengan ketentuan yang diatur dalam pasal 1 angka 35.Ridwan juga menyoroti pentingnya koordinasi yang rutin dilakukan untuk menyatukan persepsi serta mencegah praktik politik uang yang merugikan demokrasi. Ungkapnya.Kepala Kesatuan Bangsa dan Politik Kabupaten Banggai, Syaifuddin Muid, SH, yang mewakili Bupati Banggai, menjelaskan bahwa tugas pemerintah dalam konteks pemilu adalah menkoordinir penyelenggaraan pemilu dan menyiapkan fasilitas, serta menjaga iklim demokrasi yang sehat dan keamanan. Melalui Kesbangpol Banggai, ia mengajak semua pemilih untuk memilih sesuai dengan pilihan masing-masing tanpa tekanan.Dengan mengedepankan semangat demokrasi dan kampanye damai, rapat koordinasi ini menjadi langkah strategis dalam menjamin kelancaran dan keberhasilan Pemilu 2024 di Kabupaten Banggai. Pihak-pihak terkait sepakat untuk bersama-sama menjaga integritas pemilu dan menciptakan atmosfer yang kondusif demi terwujudnya proses pemilihan yang adil dan transparan.Rapat koordinasi ini juga menjadi momentum bagi peserta pemilu dan pihak terkait untuk saling bersinergi dalam menciptakan lingkungan politik yang sehat dan demokratis.Selain membahas teknis kampanye, pertemuan ini turut menegaskan pentingnya peran aktif seluruh elemen masyarakat dalam memastikan jalannya pemilu secara tertib dan aman.Ketua KPU Banggai, Santo Gotia  yang turut hadir dalam rapat koordinasi, menegaskan komitmen lembaganya untuk menyelenggarakan pemilu yang transparan dan akuntabel. Ia mengajak partisipasi aktif dari semua pihak, termasuk masyarakat, agar proses demokrasi dapat berjalan dengan baik.Sementara itu, Ketua DPRD Banggai menyampaikan apresiasi atas upaya Bawaslu dalam mengoordinasikan persiapan pemilu. Ia menekankan pentingnya kerjasama antara lembaga pengawas pemilu, penyelenggara pemilu, dan partai politik untuk menciptakan pemilu yang adil dan bermartabat.Di sisi lain, perwakilan partai-partai politik yang hadir juga memberikan masukan dan komitmen untuk menjaga suasana kampanye yang damai. Mereka berjanji untuk mengedepankan dialog dan debat ide sebagai sarana untuk memenangkan hati pemilih, tanpa resort ke tindakan yang dapat merusak integritas pemilu.Rapat koordinasi ini diharapkan dapat menjadi langkah awal dalam membangun kesadaran bersama akan pentingnya pemilu damai dan demokratis. Dengan dukungan semua pihak, Pemilu 2024 di Kabupaten Banggai diharapkan dapat menjadi contoh pelaksanaan demokrasi yang berkualitas, adil, dan transparan. **Penulis  : Imam Muslik  ( Jurnalis Luwuk )"
positif,Kepala Lapas Luwuk Koordinasi dengan Disdukcapil Banggai Untuk Pendataan NIK dan E-KTP Warga Binaan,"KABAR LUWUK –Kepala Lapas LuwukKoordinasi dengan Disdukcapil Banggai untukPendataan NIKdanE-KTPWarga Binaan.Kepala Lembaga Pemasyarakatan Kelas IIB Luwuk, Efendi Wahyudi, didampingi oleh Kasi Binapigiatja, Taufiq, melakukan kunjungan ke Kantor Dinas Kependudukan danPencatatan Sipil (Disdukcapil) Kabupaten Banggai.Kunjungan ini dilakukan dalam rangka berkoordinasi terkait pendataan Nomor Induk Keluarga (NIK) dan pendaftaran E-KTP Warga Binaan yang berada di Lapas Luwuk. Luwuk, 6 Desember 2023Dalam pertemuan tersebut, Kepala Lapas Luwuk disambut baik oleh Sekretaris Disdukcapil, Hj. Faridah Matorang, S.sos M.si. Koordinasi ini membahas beberapa hal, termasuk persiapan validasi data NIK Narapidana dan pendaftaran E-KTP yang akan diajukan sebagai Daftar Penduduk Potensial Pemilih Pemilihan (DP4).Efendi Wahyudi menyampaikan pentingnya keterlibatan Warga Binaan Pemasyarakatan (WBP) dalam proses pemilihan umum lima tahunan. “Setiap WBP yang memenuhi syarat memiliki hak untuk memilih dan ikut serta dalam pemilihan umum.Jumlah WBP yang signifikan di dalam Lapas dapat menjadi potensi tersendiri dalam menentukan hasil Pemilu,” ungkap Efendi Wahyudi.Koordinasi antara Lapas Luwuk dan Disdukcapil Banggai ini diharapkan dapat mempermudah proses pendataan dan pendaftaran Warga Binaan, sehingga mereka dapat berpartisipasi aktif dalam demokrasi melalui hak pilih mereka.endataan yang akurat juga dianggap penting untuk menjamin keabsahan data dan mencegah potensi masalah terkait identitas penduduk.Upaya ini sejalan dengan komitmen pemerintah dalam memastikan setiap warga negara, termasuk WBP, dapat menikmati hak-hak demokratisnya tanpa diskriminasi. Proses validasi data NIK dan E-KTP di Lapas Luwuk menjadi langkah konkret dalam mewujudkan partisipasi seluruh lapisan masyarakat dalam proses demokrasi di Indonesia.Efendi Wahyudi juga menekankan pentingnya kerjasama antara Lapas Luwuk dan Disdukcapil Banggai dalam menjalankan pendataan ini secara efektif dan efisien.Dalam koordinasi tersebut, pihak Disdukcapil diwakili oleh Sekretaris Disdukcapil, Hj. Faridah Matorang, S.sos M.si., yang menyambut baik inisiatif dari Lapas Luwuk.Kerjasama ini mencakup persiapan validasi data NIK Narapidana dan pendaftaran E-KTP, yang kemudian akan diajukan sebagai Daftar Penduduk Potensial Pemilih Pemilihan (DP4).Proses ini diharapkan dapat memperkuat integritas data kependudukan, sehingga setiap Warga Binaan dapat memanfaatkan hak politiknya secara sah.Sekretaris Disdukcapil, Hj. Faridah Matorang, menyampaikan komitmen pihaknya untuk mendukung proses ini. “Kami siap bekerja sama dengan Lapas Luwuk dalam upaya memastikan bahwa setiap WBP memiliki identitas yang sah sesuai prosedur yang berlaku,” ujar Hj. FARIDAH.Diharapkan, kerjasama ini bukan hanya menjadi satu kali kegiatan, tetapi dapat menjadi contoh bagi lembaga pemasyarakatan lainnya untuk turut serta dalam memastikan hak demokratis setiap WBP di Indonesia.Melibatkan Warga Binaan dalam proses demokrasi adalah langkah progresif menuju masyarakat yang lebih inklusif dan berkeadilan.**"
positif,Optimisme Ketua KPU Banggai Atasi Keraguan Logistik Pemilu,"KABAR LUWUK –Optimisme Ketua KPU Banggai Atasi KeraguanLogistik Pemilu.KetuaKomisi Pemilihan Umum (KPU)Banggai,Santo Gotia,menegaskan keyakinannya bahwa keraguan terkaitlogistik Pemilutidak akan terulang seperti kasus sebelumnya.Meskipun keraguan masyarakat merupakan hal yang wajar, Gotia optimis bahwa semua akan berjalan tepat waktu dan logistik akan berjalan lancer, disampaikan pada saat menghadiri jelan rakor Kampanye damai bersama partai Politik diHotel Estrellakelurahan Tombang Permai, Rabu 6/12/2023.Gotia menjamin keberadaan PKPU dan Jukdisnya sebagai bukti komitmen pihak penyelenggara. “Kami di Kabupaten Banggai memiliki kepercayaan, pemilu besok akan sukses dengan pengaturan logistik yang cermat,” ujarnya.Menyoroti pentingnya logistik, Gotia menekankan bahwa logistik adalah jantung pemilu. Namun, ia juga menyoroti bahwa pemilu tidak hanya mengandalkan logistik, melainkan tahapan-tahapan lainnya juga perlu mendapat perhatian khusus.Ketua DPRD Banggai, Suprapto, menambahkan bahwa jaminan dari Ketua KPU adalah konsekwensi dari kesalahan masa lalu. Dalam konsolidasi, Suprapto yakin bahwa keraguan tidak akan terulang karena banyak pihak yang memberikan perhatian lebih.Ia menilai bahwa kesalahan masa lalu terjadi karena manajerial yang kurang pandai dalam mengelola waktu, mulai dari tahapan hingga pelaksanaan Pemilu.Dengan adanya keyakinan dan komitmen dari KPU Banggai, diharapkan pemilu di Kabupaten Banggai berjalan lancar tanpa kendala logistik, memberikan kepercayaan kepada masyarakat terhadap penyelenggaraan pemilu yang transparan dan akuntabel.Dalam upayanya menjaga kepercayaan masyarakat, Suprapro juga menyoroti bahwa aspek manajerial memainkan peran kunci dalam kesuksesan Pemilu. Dia menegaskan perlunya manajemen waktu yang efisien mulai dari tahapan perencanaan hingga pelaksanaan Voting Day. Jelasnya.Selain itu, Gotia mengimbau semua pihak terlibat untuk terus berkolaborasi dalam memastikan setiap tahapan Pemilu berjalan sesuai jadwal. Dia menyampaikan bahwa sinergi antara KPU, DPRD, dan seluruh elemen terkait merupakan fondasi utama keberhasilan penyelenggaraan Pemilu.Suprapto dari DPRD Banggai menambahkan bahwa evaluasi terhadap kesalahan masa lalu harus menjadi pembelajaran berharga. Dia menekankan pentingnya transparansi dan partisipasi aktif seluruh pemangku kepentingan dalam membangun integritas Pemilu.Sebagai langkah konkret, KPU Banggai telah merancang strategi pemantauan dan evaluasi yang ketat terhadap proses logistik.Gotia memastikan bahwa setiap perubahan atau kendala yang muncul akan segera ditanggapi dengan solusi yang tepat, menghindari terulangnya masalah pada Pemilu sebelumnya.Dengan komitmen yang kuat dari KPU Banggai dan partisipasi aktif dari seluruh pihak terkait, diharapkan keraguan masyarakat dapat teratasi.Semua pihak diundang untuk memberikan dukungan penuh demi terwujudnya Pemilu yang transparan, adil, dan sukses di Kabupaten Banggai.**Penulis : Imam Muslik ( Jurnalis Luwuk)"
positif,"Ngopi Bersama Wartawan,  Kajari Banggai Jalin Silaturahmi","KABAR LUWUK – Kejaksaan Negeri Kabupaten Banggai menggelar acara ngopi bersama awak media, mempererat hubungan dengan Kepala Seksi Intelijen baru, Sarman Sentosa Tandiasu, SH, di Cafe Daeng Mangge. Kamis 6/12/2023.Kegiatan ini dihadiri oleh Kajari Raden Bagus Wicaksono, SH.M.hun, yang menekankan pentingnya peran wartawan sebagai mitra Kejaksaan.Dalam acara tersebut, dibahas juga tindak lanjut kegiatan menjelang akhir tahun 2023 serta diungkapkan apresiasi dari Kepala Seksi Intelijen terhadap kerjasama yang telah terbangun dengan baik bersama awak media.Dalam suasana yang akrab, Kajari Raden Bagus Wicaksono, SH.M.hum, menyampaikan bahwa kegiatan ngopi bersama merupakan upaya untuk memperkuat kolaborasi dengan para wartawan sebagai mitra penting Kejaksaan Negeri Banggai.“Media memiliki peran strategis dalam menyampaikan informasi kepada masyarakat, dan kejadian-kejadian yang melibatkan hukum,” ujarnya.Diskusi pun melibatkan pertukaran pandangan mengenai isu hukum terkini yang menjadi perhatian publik.Sementara itu, Sarman Sentosa Tandiasu, SH, kepala seksi Intelijen yang baru, memberikan ucapan terima kasih kepada awak media atas partisipasinya dalam acara ngopi bersama. Ia mengapresiasi peran wartawan dalam menyampaikan informasi secara objektif dan berimbang.“Dukungan dan kerjasama awak media sangat berarti bagi kami dalam menjalankan tugas Intelijen.Keterlibatan media lokal membantu masyarakat lebih memahami upaya penegakan hukum yang kami lakukan,” ungkap Sarman Sentosa Tandiasu.Acara ini juga menjadi momen bagi para wartawan untuk berinteraksi secara langsung dengan kepala seksi Intelijen, menciptakan hubungan yang lebih erat antara media dan aparat penegak hukum.Diharapkan, sinergi ini akan terus tumbuh untuk mendukung transparansi dan keadilan dalam pelaksanaan tugas kejaksaan di Kabupaten Banggai.**Penulis : Imam Muslik ( Jurnalis Luwuk )"
positif,"Ngopi Bersama Insan Media,  Kajari Banggai Jalin Silaturahmi","KABAR LUWUK – Kejaksaan Negeri Kabupaten Banggai menggelar acara ngopi bersama insan media, mempererat hubungan dengan Kepala Seksi Intelijen baru, Sarman Sentosa Tandiasu, SH, di Cafe Daeng Mangge. Kamis 6/12/2023.Kegiatan ini dihadiri oleh Kajari Raden Bagus Wicaksono, SH.M.hun, yang menekankan pentingnya peran wartawan sebagai mitra Kejaksaan.Dalam acara tersebut, dibahas juga tindak lanjut kegiatan menjelang akhir tahun 2023 serta diungkapkan apresiasi dari Kepala Seksi Intelijen terhadap kerjasama yang telah terbangun dengan baik bersama awak media.Dalam suasana yang akrab, Kajari Raden Bagus Wicaksono, SH.M.hum, menyampaikan bahwa kegiatan ngopi bersama merupakan upaya untuk memperkuat kolaborasi dengan para wartawan sebagai mitra penting Kejaksaan Negeri Banggai.“Media memiliki peran strategis dalam menyampaikan informasi kepada masyarakat, dan kejadian-kejadian yang melibatkan hukum,” ujarnya.Diskusi pun melibatkan pertukaran pandangan mengenai isu hukum terkini yang menjadi perhatian publik.Sementara itu, Sarman Sentosa Tandiasu, SH, kepala seksi Intelijen yang baru, memberikan ucapan terima kasih kepada awak media atas partisipasinya dalam acara ngopi bersama. Ia mengapresiasi peran wartawan dalam menyampaikan informasi secara objektif dan berimbang.“Dukungan dan kerjasama awak media sangat berarti bagi kami dalam menjalankan tugas Intelijen.Keterlibatan media lokal membantu masyarakat lebih memahami upaya penegakan hukum yang kami lakukan,” ungkap Sarman Sentosa Tandiasu.Acara ini juga menjadi momen bagi para wartawan untuk berinteraksi secara langsung dengan kepala seksi Intelijen, menciptakan hubungan yang lebih erat antara media dan aparat penegak hukum.Diharapkan, sinergi ini akan terus tumbuh untuk mendukung transparansi dan keadilan dalam pelaksanaan tugas kejaksaan di Kabupaten Banggai.**Penulis : Imam Muslik ( Jurnalis Luwuk )"
